Catalogue Entry,Familiar Name,Alternative Entries,Type,Constellation,Right Ascension,Declination,Magnitude,Size,Surface Brightness,Rise time over 10º,Transit Time,Set time below 10º,Maximum Elevation
M 79,,"NGC 1904, ESO 487-SC7, GCL 10",Globular cluster,Lepus,"05h 24' 11""","-24º 31' 25""",7.70,9.6',21.24,3:36pm,9:52pm,4:08am,81º
M 38,,"NGC 1912, OCL 433",Open cluster,Auriga,"05h 28' 43""","35º 51' 18""",6.40,15',20.91,7:07pm,9:56pm,0:46am,21º
M 1,Crab Nebula,"NGC 1952, Sh 2-244",Planetary nebula,Taurus,"05h 34' 30""","22º 00' 60""",8.40,8' x 4',20.79,6:01pm,10:02pm,2:03am,34º
M 42,Orion Nebula,"NGC 1976, Sh 2-281, LBN 974",Diffuse nebula,Orion,"05h 35' 18""","-05º 22' 60""",4.00,1.5º x 1º,21.96,4:38pm,10:03pm,3:28am,62º
M 43,De Mairan's Nebula,NGC 1982,Bright nebula,Orion,"05h 35' 30""","-05º 16' 00""",7.00,20' x 15',21.82,4:38pm,10:03pm,3:28am,62º
M 36,,"NGC 1960, OCL 445",Open cluster,Auriga,"05h 36' 18""","34º 08' 27""",6.00,10',19.63,7:03pm,10:04pm,1:05am,22º
M 78,,NGC 2068,Bright nebula,Orion,"05h 46' 48""","00º 04' 60""",8.00,8' x 6',20.83,5:04pm,10:14pm,3:25am,56º
M 37,,"NGC 2099, OCL 451",Open cluster,Auriga,"05h 52' 18""","32º 33' 11""",5.60,15',20.11,7:09pm,10:20pm,1:30am,24º
M 35,,"NGC 2168, OCL 466",Open cluster,Gemini,"06h 09' 00""","24º 21' 00""",5.10,25',20.72,6:45pm,10:36pm,2:28am,32º
M 41,,"NGC 2287, ESO 557-SC14, OCL 597",Open cluster,Canis Major,"06h 46' 00""","-20º 45' 24""",4.50,39',21.08,5:08pm,11:13pm,5:19am,77º
M 50,,"NGC 2323, OCL 559",Open cluster,Monoceros,"07h 02' 48""","-08º 22' 33""",5.90,15',20.41,5:57pm,11:30pm,5:03am,65º
M 47,,NGC 2422,Open cluster,Puppis,"07h 36' 36""","-14º 29' 00""",4.40,30',20.41,6:15pm,0:04am,5:53am,71º
M 46,,"NGC 2437, OCL 601",Open cluster,Puppis,"07h 41' 47""","-14º 48' 36""",6.10,20',21.23,6:19pm,0:09am,5:59am,71º
M 93,,"NGC 2447, ESO 493-SC7, OCL 649",Open cluster,Puppis,"07h 44' 30""","-23º 51' 24""",6.20,10',19.83,5:58pm,0:12am,6:26am,80º
M 48,,"NGC 2548, OCL 584",Open cluster,Hydra,"08h 13' 43""","-05º 45' 02""",5.80,30',21.81,7:15pm,0:41am,6:07am,62º
M 44,Beehive Cluster,"NGC 2632, OCL 507",Open cluster,Cancer,"08h 40' 24""","19º 40' 12""",3.10,1.2º,20.95,8:58pm,1:07am,5:17am,37º
M 67,,"NGC 2682, OCL 549",Open cluster,Cancer,"08h 51' 18""","11º 48' 60""",6.90,25',22.52,8:42pm,1:18am,5:55am,45º
M 95,,"NGC 3351, CGCG 66-4, IRAS 10413+1158, MCG 2-28-1, PGC 32007, UGC 5850",Galaxy,Leo,"10h 43' 58""","11º 42' 12""",9.70,7.4' x 5',22.25,10:34pm,3:11am,7:48am,45º
M 96,,"NGC 3368, CGCG 66-13, IRAS 10441+1205, MCG 2-28-6, PGC 32192, UGC 5882",Galaxy,Leo,"10h 46' 46""","11º 49' 12""",9.30,7.8' x 5.2',21.95,10:37pm,3:13am,7:50am,45º
M 105,,"NGC 3379, CGCG 66-18, MCG 2-28-11, PGC 32256, UGC 5902",Galaxy,Leo,"10h 47' 49""","12º 34' 52""",9.30,5.3' x 4.8',21.44,10:40pm,3:15am,7:49am,44º
